City,Country,Date,PM2.5,PM10,CO,NO2,O3,SO2,Temperature,Humidity,Wind Speed,AQI
New York,USA,2022-05-04,24.908678494144077,44.87688538100692,4.723029856408026,5.931693250553328,11.863452172203278,4.779212815507392,27.674347291529088,50.610512281300956,12.712800217929823,64
Beijing,China,2024-11-05,52.07135123214872,84.01962271566033,4.886719755342202,10.150164334973937,24.950849883036113,5.787168879665577,23.14247332595274,41.83951848957578,2.9384814933235424,136
Sao Paulo,Brazil,2023-05-19,48.071118497567326,74.47528204687923,4.725251813786544,11.211234550949635,25.043690358839466,4.999006422577698,23.75698018345672,47.9872262016239,8.541531251033616,123
Cairo,Egypt,2024-03-29,49.6613909225447,60.46502775262066,3.9922890710441004,11.74508982420638,15.316625400115914,5.258863595004756,0.40329876120224384,33.436279022031385,10.984306179345618,101
Beijing,China,2021-06-24,69.65684140594985,102.0435171761176,8.298896304410711,14.242956019265144,31.520623166421164,8.139361229040212,30.571222262189156,66.87236579136923,1.1847992231863298,172
Berlin,Germany,2022-02-27,19.67458859791842,25.63077999694041,3.311676288840868,7.461999044991902,14.525120476464796,1.8607824767773615,16.907876241487855,66.62526862807128,14.877725635611796,54
Berlin,Germany,2021-11-27,11.071705116680914,6.936650259939718,0.3037933759193292,4.625051644788396,11.42496011428329,1.427989878419666,30.03532897892024,67.23272050095268,6.774401226974378,30
Sydney,Australia,2020-06-20,23.690182832329846,23.641739608900483,3.564643655814006,0.0,11.287610017500896,2.087047068238171,17.009926495341325,61.835215530710045,0.062155426995536445,40
Paris,France,2022-09-03,20.985562857558733,43.57894044741516,1.881729781726353,3.1830127942136253,7.592971825661856,3.3154021177020745,23.287511096596845,49.404795924659226,12.56633716556678,48
Delhi,India,2019-01-21,85.64322495266445,114.17946906122647,9.772337853402233,19.415783693735687,34.54594020747153,10.396120277064577,22.610552721798893,60.102269132849216,8.827064333124266,202
Sao Paulo,Brazil,2019-03-10,,18.772854834732303,1.0477227307783812,3.377428576667982,9.016203427258153,3.73618590121053,21.74577812831839,65.15100781445528,9.627770421169163,37
Berlin,Germany,2020-09-19,,0.6023020994102644,2.463242112485286,0.0,1.2061893693344499,0.0,8.31321962380468,82.85645629030041,13.759665163433871,0
Berlin,Germany,2024-09-25,,54.82794310936099,1.9981489372077195,7.9737141876005415,22.361822503239914,2.409463674869312,14.33702270397228,61.993027301752825,7.482621729419003,68
Delhi,India,2016-10-09,,81.17696286273895,8.123592430635181,13.461151531532394,36.79973762007016,6.866746707663763,16.779384837943244,76.27034434739339,3.845678417830224,153
Sydney,Australia,2022-01-04,,5.525167654387722,1.9846338585323042,4.119765588496847,10.327291487109242,0.5630492891219181,6.795433869157236,70.43883131233795,11.48492336616593,36
Berlin,Germany,2019-03-04,,24.399752784215092,2.8322536971610037,5.7861449465973624,7.542594327894529,4.465774511144756,24.738329209117875,36.173930055947025,13.282768043169149,52
Cairo,Egypt,2022-03-04,39.93542301871226,65.58595579007404,3.6793176816482895,10.926752258488644,19.65112370774599,5.32206015999449,38.967929826539475,55.09223767994259,6.231319178212552,90
Cairo,Egypt,2019-04-28,33.12094857517281,55.02898290585895,4.991151974816645,9.85338159866004,21.908732996144096,4.663001891877907,34.53534077157317,54.70686333524088,23.600845832948096,93
New York,USA,2016-04-23,22.91421221791859,30.091075019388875,3.8824724152431855,6.353074429348299,16.45600197636837,3.8732376245735454,19.27171087343127,43.0641256386319,2.4257638765706773,68
Paris,France,2021-01-25,20.681993971617363,26.740937441302037,0.8042612212880123,4.446361851702364,9.741269518915349,1.1661425637988674,21.53725105945528,61.16417436892,4.285148510846884,41
London,UK,2022-07-29,30.80392263184117,52.830512431752766,4.553802052034903,4.244661264085818,10.248699840339508,4.01503526720866,,70.30095372612095,29.263657453273606,70
Delhi,India,2024-12-26,92.477828200903,139.740017634932,11.5013912513058,21.06946151071931,46.43587688197307,10.077174785462429,,50.29272904341793,10.409370696931612,217
Paris,France,2023-03-04,40.26367403704126,81.26260190374512,4.5872841288103485,11.456136268421133,29.155802387869464,6.264280019095463,,45.693925814800636,13.397988744673379,124
London,UK,2019-11-14,16.282292947909877,23.255718399038138,1.2483996523941832,8.087888178650651,10.135676089272046,0.0,,46.76427070463224,14.26216667398112,38
Sao Paulo,Brazil,2018-10-11,21.826317792665506,38.649872789804576,3.6657551941701216,3.199407185888448,9.861995056636207,2.325054688839044,,95.30908480562194,12.024908554804778,56
Delhi,India,2021-05-02,69.38930973527388,118.42156197012633,9.132465260551147,13.161260068091973,30.463063708534992,9.366911149186622,,68.87638856292457,13.873170267146683,162
Paris,France,2016-06-25,10.502373219691,0.0,0.32561235866571026,2.1948636972136795,0.40886727214060237,2.9824113039316353,5.698586220393674,51.19911026606032,10.653702886430457,27
Tokyo,Japan,2019-01-15,26.020689244102805,61.43163752154959,4.1602330610195875,6.336982697904099,18.448413897053083,4.34905969557347,13.997831228412053,61.39604169980038,8.0734320156912,83
Tokyo,Japan,2020-10-23,20.510653372605233,41.66016816145352,0.9121845011731509,8.566066749312533,0.7916488019099921,1.9982149049644167,25.883172064845766,65.61983735470065,6.886502400897031,43
Cairo,Egypt,2024-05-07,42.73499532670584,61.90635243055788,6.499602097021025,12.014030971930096,19.828361618957384,6.549599875433251,23.072995208766095,76.2572423767792,13.14814420961806,113
Cairo,Egypt,2017-05-03,35.19909479901515,64.47293605123262,5.360370265433465,9.458196812071703,19.469309533235126,6.0276648957884245,14.0842861116417,70.94194762340075,8.98903673783053,95
Paris,France,2019-08-22,24.693884259935952,37.054163489880295,3.213509636000639,7.410957614308659,9.684015366531037,3.0819529712949643,16.89733243406544,66.48332704976885,9.349284728161576,48
Beijing,China,2024-11-03,63.77578512718457,83.01779316766527,9.69238727568546,13.187965237000597,25.54324554884907,8.758110873500069,27.91662693962936,72.4823963410431,13.1417275463214,152
Berlin,Germany,2017-06-03,13.113728142570844,27.158045581937262,1.5228382884878884,6.350239466835503,8.211770473991447,1.3745028032074886,16.786141583470066,68.25862908551248,7.1813772359801264,44
Cairo,Egypt,2022-12-19,39.21843605745956,59.44966571108723,4.24305682462887,8.557923388763355,19.928199749430544,3.3019156585026757,5.925362256234447,45.63111557495128,8.932764241440763,95
Cairo,Egypt,2019-01-03,58.97678108474776,85.97659623202019,6.290061470036573,12.861967584194623,21.789882541448765,6.43148686400761,17.113413610798617,66.45437120676179,5.863845282238385,129
London,UK,2023-09-17,37.66369456501289,43.91239851543143,4.151711722098941,8.880287983422225,13.395118112456656,3.9740924818104166,20.12592400781795,61.95352197097664,6.134951080722668,75
London,UK,2015-08-19,26.489991456227248,50.51143607795042,3.959270826085207,10.306364915023114,8.930609748447802,3.872320636720678,21.833420057383517,103.79605866435344,5.958508573224242,60
Beijing,China,2022-09-05,46.60303677277989,53.16104275690192,5.674244978319239,10.881734676892604,25.401575145904832,6.54175597577716,38.761708392158866,79.008476763721,7.115481721687985,124
Sydney,Australia,2020-02-15,3.659595857532529,0.0,1.9814587658543537,2.6588802414425743,0.0,0.0,33.538723741654124,57.70920309494764,16.189081559867308,3
Sao Paulo,Brazil,2015-06-30,9.803124885231137,19.25243699718183,1.6469805937647422,2.299869057041513,8.891399729389995,0.5323795706174057,18.576205149787064,62.40591263423798,12.572194170293745,32
Paris,France,2015-09-05,24.776789540810654,30.25885829264378,5.0776768218985096,8.264628023959183,12.206053853773787,5.351151975522523,21.156746342928585,83.58594368127653,10.337592407050545,76
Beijing,China,2018-05-22,93.17670421221602,124.11035851520926,11.521570950954356,22.390751899170297,47.674526230129395,9.585076539419896,26.86051459998439,81.16848973699176,1.2063025678844284,211
Delhi,India,2024-07-14,55.4038391111995,95.70593165555441,8.917542255795963,19.40471410419206,33.09637912167911,9.828615545571292,6.198985417851086,25.932351212896904,9.722261505516906,164
Tokyo,Japan,2022-09-15,20.236526259529537,9.925578999601232,2.460879960487212,2.491060998990294,12.878690195320155,2.9165982460968487,10.601202136726448,49.72266165326613,4.703932390555242,51
Tokyo,Japan,2019-05-23,19.97571160250619,12.942739536644563,2.4040465155178445,2.7394847632551187,4.428508670950624,1.7929696400454422,9.64757677580626,48.927013893056355,4.010610537055758,38
Sydney,Australia,2015-06-05,35.376317759858644,45.80274492007414,4.613979910734223,8.575343900618341,16.71612160186711,5.014166700043425,27.575077100473052,49.38997704778945,7.1209087967766,88
Sydney,Australia,2015-04-20,0.0,0.0,2.4168742674445247,5.389935427002568,3.203855841774487,1.6265569630557666,23.11250154543536,121.57761616910476,15.597874557172883,21
Cairo,Egypt,2022-04-23,41.62229779699788,53.53553679742427,6.003463635867224,10.087298509431395,17.510985161609305,5.1534271157574745,9.18451996385605,93.74283270145129,14.408198784747253,116
Cairo,Egypt,2024-03-26,54.99972069445013,72.17368307647618,5.088715798671736,14.946248154539315,25.955640174738637,4.912753845673544,18.096613219163917,42.48763493230486,3.0860013451783193,119
Beijing,China,2022-06-07,80.34708320235065,92.21432426180858,9.41296923669057,16.398714861756346,33.45149846494122,8.25760607576113,11.36009230320184,60.97043255889654,5.845249417944811,177
Sao Paulo,Brazil,2023-09-24,34.94880945275432,50.4105195313359,3.4924363379584022,7.6464573388633355,20.621564903303025,4.9009171876243816,10.224447552014489,61.986646108584516,13.756935616858945,88
London,UK,2015-05-09,6.316800961899675,0.0,1.0205986685931594,0.0,0.0,0.0,20.48084946661382,65.19445003442964,5.478416874477957,9
New York,USA,2015-03-10,19.292399688655202,40.739202013526835,2.2389838002375435,5.596327784395682,13.989594685265656,2.589586634716048,16.154444557701748,80.1258561842888,7.115540652384256,69
New York,USA,2018-03-07,24.351465726711908,50.298041779152825,5.1915686206579,2.5567109997454214,11.812418978118092,4.32707212718054,17.969546139570074,67.42291746742617,6.980074066420897,75
Tokyo,Japan,2021-09-04,16.021613823039605,36.87782061659807,2.354420843301213,4.8752053241504045,6.752492135510131,1.6123937759275067,15.674418121803791,67.88904284756593,7.895077595898686,42
Tokyo,Japan,2021-10-18,29.577003993227198,37.51124703431692,2.0739764678321593,7.20242784432789,7.967698507913796,0.3618754648221465,9.919136890825959,22.58416157948289,8.242432579793457,48
Sydney,Australia,2016-04-09,20.382186561376415,21.269273737641626,1.2808994711911357,4.658811162366979,0.0,1.735614558108566,27.708651938869668,30.428275084403168,15.718770216034645,30
Cairo,Egypt,2024-12-26,49.923560430495996,84.32781866106285,8.770692857804395,13.363732510116991,26.992882345201345,6.040639100459756,11.501556305352082,76.60671633088491,5.719580870455664,130
Berlin,Germany,2024-09-08,16.411712766174418,32.98979825746392,2.6836621052869485,6.775079888515799,7.359934404581012,2.0801250647066287,10.212362842176926,51.114134798477764,11.886502465224261,47
Cairo,Egypt,2017-08-15,52.18917337911188,93.8960592010566,8.455637858804952,15.026869806447403,35.907183250232265,6.326210800896428,7.55345296688583,24.425595021914425,17.480221557445915,142
Sao Paulo,Brazil,2017-06-16,39.32207664544772,62.1996862631982,3.8245109527016234,14.791503959233653,20.31688472790091,5.059394794604893,27.25766623898692,69.62018463473427,11.119420121395656,99
Paris,France,2017-09-24,14.75734178567998,37.42024496475034,2.8954200461549777,6.286373253278795,4.15513729427526,0.5603951797414192,18.74213079900352,61.114498245773895,15.470957592354743,31
New York,USA,2022-04-21,7.647751597303069,0.0,0.0,0.0,0.0,0.8231705839619146,20.733179671884038,34.20078200517892,3.5246061396819197,0
Beijing,China,2023-01-31,63.94510762644697,80.80408648636394,5.4468570468818935,13.408513871828111,26.70910572100932,4.253113357058428,19.457051334821877,55.38130939582644,13.481031824067092,139
Delhi,India,2021-06-01,107.63282514773879,150.31111309445168,11.64347409125833,30.646719606499722,51.23687373605795,12.763929291912946,19.758749128899968,63.961695215357096,9.278197940380288,255
Cairo,Egypt,2021-12-14,38.06570529379805,60.87246729784001,4.556575228866236,8.774308434645672,20.82572091076759,4.845022782579146,35.039929885826886,6.980603832139764,15.45753425961231,102
Berlin,Germany,2018-04-03,22.433048837959255,45.773124059196505,3.7285591340042092,5.384976610564358,13.2887332496365,2.9894241545341718,37.52270443423623,78.71356786294922,16.357775474970794,82
Cairo,Egypt,2020-03-26,50.75474114391386,79.35479733720226,7.539374561227919,11.65574438221611,31.051993720689556,6.8096746018418655,16.251791924504026,74.21919936406982,12.2213165574302,141
Delhi,India,2024-09-03,81.39664901682124,102.58936672400102,10.065935606944265,20.08620251593677,36.56181424274404,9.776133022242119,7.48886423614697,78.48054038413802,9.075489317785054,189
Beijing,China,2018-07-07,58.845046129184446,73.3565630945724,5.291538703636441,10.286741652952193,29.22403980538256,5.419570647503717,37.54794181984364,18.36141184232556,18.48228184145019,134
Cairo,Egypt,2022-03-14,49.91643444064805,70.15080913191049,6.699136114352072,12.524730595150304,29.613207528066088,6.41422764866204,21.503017614618777,52.72775575572288,9.715271881394663,126
Sao Paulo,Brazil,2020-02-03,27.049158036716875,39.91814577894287,5.193264094022715,9.241730876255884,17.064066654589283,4.468433933065393,23.47581705361671,49.204806393812774,6.108476372988436,89
Sao Paulo,Brazil,2020-04-20,29.10813611192484,55.082527557144715,2.5474163957621596,10.558311274651288,18.890389929652173,4.506029734313875,29.82690983945514,93.30948888925153,15.071850325090653,85
Sydney,Australia,2024-11-01,0.0,0.0,0.026091050210833786,1.035318040938246,0.0,0.18676676447707832,12.446170676466775,47.76964394016103,2.9666945157588884,0
Tokyo,Japan,2019-02-08,0.0,0.0,1.6536417966078396,0.0,12.929528259349564,1.0933179008808893,21.84836123694874,42.832844396375734,13.501549397044958,12
New York,USA,2022-10-02,13.410049073226809,44.800845382687946,1.5039401002753503,5.498546652571352,3.5872942994964507,1.5650115095030384,37.7080063563551,47.46065884424465,19.062242789984644,32
Delhi,India,2016-12-14,85.58766612052867,138.9240773905552,12.02255444962673,23.343619924434392,37.91910112043818,10.322862824175132,17.52481364448495,58.511331417999074,13.10336048775339,221
Berlin,Germany,2021-12-18,13.323278206449494,33.801978510059634,3.110585745283823,6.11958089586208,14.323122902218486,3.333922154548904,24.591800792284367,58.59668577082706,1.6951953324200435,50
Tokyo,Japan,2020-08-08,21.838438435815558,33.91578837195373,1.3232514241796907,3.0378869191834754,14.612611413331614,2.560444846143345,26.815006973726245,60.56636752260923,10.148780697478726,52
London,UK,2023-09-28,32.619776358913136,53.76120776940983,3.937724711294958,7.93100754513537,16.363311506125445,4.622133771633713,15.212513783365226,85.11512251147042,5.526963488902481,88
Delhi,India,2017-07-31,75.40134470862914,130.86977884353732,9.896554776511575,21.46368907893727,32.85775850785212,9.96705026586926,28.89630795623437,61.645679785508484,15.327401875326757,194
Cairo,Egypt,2018-03-11,48.6467372009279,85.3889812361925,4.837161439560341,9.508994957198457,26.613537908470803,6.779572145730713,14.771399728467317,51.596263658082854,8.591076955697464,104
London,UK,2024-11-19,3.0067402675790094,1.358592332479322,0.18220243489587162,1.8306302252264377,4.7368589301460835,2.500500492814077,10.01645959261209,79.68644796953167,8.930055778872456,19
Cairo,Egypt,2023-11-06,50.57409746083302,59.57277978437701,6.282409746184051,12.132904416426113,25.5698050560326,6.189168643907818,44.55300139910894,47.24520031497368,7.345015224990911,118
London,UK,2017-11-29,13.622614404198728,18.22612872693482,3.239016531107552,6.941008495979711,5.917014825002096,1.2176444268957716,24.71415556386404,48.95553911438057,13.164659088777555,41
Sydney,Australia,2021-05-10,6.821279425013841,37.07505201330061,3.5958776730955218,2.3744226190312276,5.649193760256064,2.085865390724905,23.34456789987025,73.1708854534566,20.051022693831747,36
Beijing,China,2019-01-18,53.608513777307735,72.60680771985471,6.469069960058081,14.333746054252407,35.97823145407115,6.682388700963829,22.237879516388986,59.67154207854496,15.94196636724042,144
Paris,France,2024-03-23,49.3456561353984,73.10560557481777,7.544160877069072,14.363782979252623,33.386829302944136,7.083928185325964,16.407079092129404,71.81309661384618,15.54351790291454,130
Beijing,China,2016-08-08,72.1363701555365,115.06674689589153,9.869295590445674,20.164317982075055,37.394839550358576,8.532881919683147,21.467136864333227,84.13017933016714,5.91532164506382,174
Tokyo,Japan,2018-01-05,18.433305938363198,30.887448229348173,3.8284518626072988,5.482198136039807,10.385746192624596,1.190143859020081,27.46253566027221,72.9096836228215,20.8162736165273,51
Paris,France,2019-07-16,19.095751638319694,29.49383683710755,3.8274532797634744,4.309408935226096,10.116086103081358,2.8578965097165394,21.86609123156358,51.071327708989436,10.970449964491538,45
New York,USA,2017-05-09,27.667423502944704,50.529696741468754,3.3998791850608274,10.590093257849686,10.307252380864902,3.5410781527284123,23.77211875064521,91.31048058468681,9.67124869463506,82
Sao Paulo,Brazil,2018-01-07,34.60578534720295,23.31986099583756,0.9511940433799184,7.180028900106666,10.591783102589556,2.128767182869287,27.083564472993533,64.87601427542398,7.179606846316358,63
Beijing,China,2017-11-01,48.76228664140073,73.1020117795866,5.450824136220618,14.793273992095333,17.919660934695393,4.024474829075261,13.080919301187556,59.088279672890046,11.216697246613458,111
Tokyo,Japan,2019-10-28,14.560276982571484,6.684605758095559,3.0437646040732593,3.0356976432148626,10.86918332635251,1.942725346377704,24.56753219153784,71.39534560464408,12.238542800086574,32
Delhi,India,2020-01-17,94.24576265066216,133.3652116970147,11.659003757588513,21.72052861142555,49.560468861797894,10.273607697940731,38.00940432910816,59.196840987113134,2.8461244894097595,219
Berlin,Germany,2016-01-23,15.794741712625598,37.20643548988724,1.7473760206976094,3.9076331335704415,2.0418370762178775,1.9476936807509238,-4.238793266289566,28.321943530285534,13.802073280721487,48
New York,USA,2021-02-24,31.327287808924826,34.13023856870787,3.6022886438580204,7.292794921818864,9.96654124322983,5.153398301767151,28.773622905756714,55.58071652340672,10.134429194972654,73
Delhi,India,2023-12-15,72.19132565787855,121.12822617479402,9.618015752002202,18.59675998021017,40.07559882845619,12.097686526849524,26.4084286126701,48.57642020434406,12.862913906780793,206
Delhi,India,2020-12-10,101.02316841456386,145.19630369920174,11.403063222294428,25.496446627227183,49.773941541687,12.945193220027733,26.351718016819696,80.9910543063867,7.32382394219716,241
Delhi,India,2017-11-16,96.587998023462,164.15260872625265,11.260812181910433,27.3719276063305,48.591643133850596,11.298581996385552,15.161141659456785,53.5930538361136,12.120829732009582,239
Berlin,Germany,2019-01-29,21.131499980307105,35.756454077390174,5.142270358611864,9.455086340201422,13.745294678696128,3.0380034781682004,21.20031326718261,72.27035945460833,4.886037174007972,60
Tokyo,Japan,2023-08-08,4.4570796306120535,23.19223122605279,2.247195939702741,2.233627075401252,12.695947053160133,0.37423433699765885,5.356251197901798,64.48903637119945,15.235491513060772,32
Sao Paulo,Brazil,2017-05-02,49.7055786856553,88.78680833431295,6.461491530499293,12.65474540011836,29.534639749946688,7.15232287841342,4.236078430157505,89.53080699451792,16.900456770737257,130
Berlin,Germany,2020-07-03,12.379017667187046,20.540301862827388,1.5606737658239072,1.4993896923091599,2.513506528247794,1.2744459290085548,31.727290192593646,70.87200309188864,8.14692833956947,26
Delhi,India,2018-09-01,74.95728689684962,145.28765700372102,9.4102862212219,21.575118117193735,40.121320421495426,9.855318524279095,31.608267873785195,50.64597597376218,11.732519408653578,223
Paris,France,2021-10-29,23.58520413611561,32.56821891060255,1.3670077758114307,7.29253363889428,8.624973667354752,1.0934181013402493,15.718848390340874,90.01519581268622,14.251108710567465,53
Cairo,Egypt,2016-05-16,41.85371147840786,62.183649487826166,7.526747983560841,11.663870904463106,23.52016658876428,6.480283454031842,22.387891590265134,54.819157083585935,9.018250754575108,109
Berlin,Germany,2019-07-30,16.613888817450793,32.476295436369796,2.1519458858072995,5.665280154431159,8.077133679565671,2.1786351903160908,0.017993154678922707,78.32655349404963,11.732442379489964,42
Sao Paulo,Brazil,2022-12-21,29.118723109031556,86.28374704780727,5.310410371844826,13.116365633475034,17.640376291497876,6.06277390506257,9.465844368263438,47.5246207860839,19.57015676933393,109
Tokyo,Japan,2015-08-30,14.687164365898616,29.10067730688754,2.1956818879726048,3.7008378102871533,8.259844009864903,4.103415585238276,19.423812029664145,64.02198093429935,15.253271980038061,34
Beijing,China,2019-12-20,79.13515152780191,116.18730222029184,8.006995087269516,21.56686306460219,32.01461842792525,9.452635465239034,12.457241499806422,58.717233068140146,11.643812051517402,183
London,UK,2024-10-04,29.709603771176425,57.53711269058647,3.90353430151398,6.411686729418703,17.65634867315343,4.6394704889246405,7.723921848630075,71.94800139699716,13.505863711554492,69
Sydney,Australia,2017-01-01,15.278534066558098,11.099444129674733,1.1755764534715423,1.753856351432261,4.26231619032587,0.0,5.599491174057057,91.89010126449944,5.765193258408361,21
New York,USA,2016-05-02,0.0,5.6103825231049775,0.0,5.284030320272738,8.039268357370537,0.3118496548222762,42.52435805344309,79.63530973983188,8.375843082456887,20
Cairo,Egypt,2017-09-25,29.45471286295371,13.10427533236404,0.6046012530431082,6.545140864019281,18.75900962535709,3.634272818510518,25.639091200523595,71.89508683330573,14.267077793901539,45
Sao Paulo,Brazil,2019-05-16,42.205957119846886,62.24201103951876,5.037406872100478,8.692070822266649,19.277299692532907,3.407043185804615,19.016603732052502,40.22817785698165,4.482053413921145,102
Sao Paulo,Brazil,2023-11-15,40.960011431723,60.183166060023126,2.6794993963768228,6.520743726859325,20.763084751952864,3.2675126064616906,17.753668500029754,71.00104198049104,5.158277725681824,85
Cairo,Egypt,2017-06-20,42.52987252540898,67.78632356048786,6.469781934142537,9.114012532936663,26.361898951841596,6.130362201073319,25.524899544171475,64.47828268129322,16.82070214986922,123
Berlin,Germany,2022-02-18,17.05297229437374,30.022975030322836,2.9432980290363884,4.897720140651409,9.76236676481553,1.698008312193245,13.37099082449052,31.94789456400613,18.747883715934698,48
Delhi,India,2020-11-07,61.33547401102046,90.01592734430803,8.994924376944441,15.610100643415944,37.390968290694936,7.426509375756131,22.78994162223802,43.293058934804854,20.72574563886694,162
Berlin,Germany,2016-11-30,5.149103551135138,11.737768809320984,0.8637990974514982,0.5294246822445834,1.2807172010662953,0.49381147197910963,18.529979983715116,79.27758233589819,21.052615007956756,9
Tokyo,Japan,2016-10-24,2.3509851021046124,12.917179516487451,3.7297093376543184,0.6926508640605387,11.156467221776271,2.827700814076441,14.464117582920053,71.37966158370551,18.141983115642688,23
Sydney,Australia,2023-11-02,6.182098199488191,4.983190860513561,0.0,0.5014449098679858,0.0,0.9340834682592261,12.300267689413582,64.67571823581495,2.2205217689818637,18
Sydney,Australia,2019-11-02,19.767644808044626,3.462643574285444,2.3240565698475724,6.355337984946585,2.961435925235179,3.6225723868377036,24.19019009366045,45.89976288483182,9.72115461171147,39
